dtcreate,Berkeley_Berkeley_LHJ,Berkeley_Berkeley_LHJ_Cumulativ,Berkeley_Berkeley_LHJ_Deaths,Berkeley_Berkeley_LHJ_Deaths_Cu,Alameda_County_LHJ,Alameda_County_LHJ_Cumulative,Alameda_County_LHJ_Deaths,Alameda_County_LHJ_Deaths__Cumu,Alameda_County,Alameda_County__Cumulative,Alameda_County_Deaths,Alameda_County_Deaths__Cumulati,GlobalID,OBJECTID
2020/08/06 08:00:00+00,4,419,0,7,351,12425,2,281,355,12844,2,288,49801f37-0db9-4ecc-8e19-6523d977c278,161
2020/08/07 08:00:00+00,11,430,0,7,284,12709,0,281,295,13139,0,288,f98b1282-a006-4241-8f2c-13c65433c720,162
2020/08/08 08:00:00+00,1,431,0,7,298,13007,1,282,299,13438,1,289,601b8f29-4bee-4a85-a967-c956cbfecffa,163
2020/08/09 08:00:00+00,9,440,0,7,322,13329,5,287,331,13769,5,294,36cf6a27-f6ab-4971-8c26-9bfd18e1e2bf,164
2020/08/10 08:00:00+00,3,443,0,7,238,13567,8,295,241,14010,8,302,ca6bfa3b-1cc1-4340-aedd-9b85fccbff39,165
2020/08/11 08:00:00+00,2,445,0,7,200,13767,6,301,202,14212,6,308,f20972ba-f735-464b-b1fe-ecd60be71f21,166
2020/08/12 08:00:00+00,6,451,0,7,314,14081,9,310,320,14532,9,317,7681aa7a-4c9f-447f-94eb-11f202c19edb,167
2020/08/13 08:00:00+00,6,457,0,7,411,14492,15,325,417,14949,15,332,25658cdd-89e7-4c0b-a285-47db908dd7f0,168
2020/08/14 08:00:00+00,2,459,0,7,275,14767,7,332,277,15226,7,339,74ed6637-8540-470e-8ccd-bd32402a5aa4,169
2020/08/15 08:00:00+00,11,470,0,7,160,14927,6,338,171,15397,6,345,f41bc098-54e6-4dbd-be0f-274b99220c09,170
2020/08/16 08:00:00+00,5,475,0,7,142,15069,3,341,147,15544,3,348,c675a89a-a9c5-41d7-9a4c-5e81919b7937,171
2020/08/17 08:00:00+00,2,477,0,7,231,15300,1,342,233,15777,1,349,25a6c396-4dc0-4e50-950a-27bf129290d4,172
